id,config,configLastChangedAt,status,statusLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt
01HJA8Q2D9KAJ86YA4RDY2J2FX,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-22T21:40:21.929434-05:00,terminated,2023-12-23T13:38:54.606925-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-22T21:40:21.929434-05:00,true,2023-12-22T21:40:21.949663-05:00,,
01HJBZKCGYXS6PJCEJ5YAAQBJ1,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""playerCount"":1}},""count"":1}]}}",2023-12-23T13:39:32.894759-05:00,ended,2023-12-23T13:41:04.962526-05:00,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2023-12-23T13:39:32.894759-05:00,true,2023-12-23T13:39:32.906424-05:00,all games finished,2023-12-23T13:41:04.962526-05:00
01HJC19KNK9ZQRGYH0JXVGFCME,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-23T14:09:09.687008-05:00,terminated,2023-12-23T14:10:00.670647-05:00,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2023-12-23T14:09:09.687008-05:00,true,2023-12-23T14:09:09.714438-05:00,,
01HJC1BGQB97MT6JYBFA9P3S3C,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""playerCount"":1}},""count"":1}]}}",2023-12-23T14:10:12.20322-05:00,ended,2023-12-23T14:12:28.972249-05:00,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2023-12-23T14:10:12.20322-05:00,true,2023-12-23T14:10:12.210023-05:00,all games finished,2023-12-23T14:12:28.972249-05:00
01HJC1FT26XKWFCC1M4MWNFPSP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""playerCount"":1}},""count"":1}]}}",2023-12-23T14:12:32.838625-05:00,ended,2023-12-23T14:14:20.796745-05:00,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2023-12-23T14:12:32.838625-05:00,true,2023-12-23T14:12:32.848208-05:00,all games finished,2023-12-23T14:14:20.796745-05:00
01HJC31X081Y34RSPJ2NG9065V,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-23T14:39:54.248945-05:00,terminated,2023-12-23T14:40:59.112835-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-23T14:39:54.248945-05:00,true,2023-12-23T14:39:54.265813-05:00,,
01HJC341NDY67B4C20JKPTJNY4,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-23T14:41:04.557345-05:00,terminated,2023-12-23T14:42:42.442996-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-23T14:41:04.557345-05:00,true,2023-12-23T14:41:04.566499-05:00,,
01HJC372C7GHTWSS2EPXP7YPY8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-23T14:42:43.591396-05:00,terminated,2023-12-23T14:43:40.984743-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-23T14:42:43.591396-05:00,true,2023-12-23T14:42:43.601494-05:00,,
01HJC38Y7ZPZFYSSJ4635WP7JA,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-23T14:43:44.895818-05:00,terminated,2023-12-23T14:56:41.018652-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-23T14:43:44.895818-05:00,true,2023-12-23T14:43:44.906985-05:00,,
01HJC40N5QXZM9EF2821BY15F8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-23T14:56:42.039304-05:00,ended,2023-12-23T15:56:17.231761-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-23T14:56:42.039304-05:00,true,2023-12-23T14:56:42.042779-05:00,all games finished,2023-12-23T15:56:17.231761-05:00
01HJEHC957QN5HR1N594JT2C2M,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-24T13:28:43.303268-05:00,terminated,2023-12-24T13:38:55.633822-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-24T13:28:43.303268-05:00,true,2023-12-24T13:28:43.317742-05:00,,
01HJEJBGN340G6BH3DK2BHG5GN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-24T13:45:46.788005-05:00,terminated,2023-12-24T14:12:07.492112-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-24T13:45:46.788005-05:00,true,2023-12-24T13:45:46.800032-05:00,,
01HJEKW75V21GQMFAX25JP3S7N,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-24T14:12:22.716266-05:00,ended,2023-12-24T14:17:41.897835-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-24T14:12:22.716266-05:00,true,2023-12-24T14:12:22.732135-05:00,all games finished,2023-12-24T14:17:41.897835-05:00
01HJEM67H4DJVWSX0TMTY91E1M,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-24T14:17:50.75632-05:00,ended,2023-12-24T14:21:18.897915-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-24T14:17:50.75632-05:00,true,2023-12-24T14:17:50.772683-05:00,all games finished,2023-12-24T14:21:18.897915-05:00
01HJEMCSQ5FK7EBC3QHJY1VMF2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-24T14:21:25.989837-05:00,ended,2023-12-24T14:31:10.884238-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-24T14:21:25.989837-05:00,true,2023-12-24T14:21:26.002816-05:00,all games finished,2023-12-24T14:31:10.884238-05:00
01HJEMZR9RA88SJVVSDVECXGAP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-24T14:31:47.128812-05:00,ended,2023-12-24T18:05:27.985004-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-24T14:31:47.128812-05:00,true,2023-12-24T14:31:47.147183-05:00,all games finished,2023-12-24T18:05:27.985004-05:00
01HJF1766ACYDC10P840G0KVM7,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-24T18:05:33.642351-05:00,ended,2023-12-24T18:09:59.637442-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-24T18:05:33.642351-05:00,true,2023-12-24T18:05:33.654933-05:00,all games finished,2023-12-24T18:09:59.637442-05:00
01HJF1FDTV84Q7TPMGZM61V3SB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-24T18:10:03.611393-05:00,terminated,2023-12-24T19:03:40.499209-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-24T18:10:03.611393-05:00,true,2023-12-24T18:10:03.625415-05:00,,
01HJF4HQMRMV6HWKR9CA9TMJFC,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2023-12-24T19:03:44.920227-05:00,ended,2023-12-24T20:18:09.336743-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-24T19:03:44.920227-05:00,true,2023-12-24T19:03:44.933135-05:00,all games finished,2023-12-24T20:18:09.336743-05:00
01HJKMBXBFBE3634KD558C5V7Q,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""playerCount"":1}},""count"":1}]}}",2023-12-26T12:57:09.104264-05:00,ended,2023-12-26T13:19:27.735951-05:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2023-12-26T12:57:09.104264-05:00,true,2023-12-26T12:57:09.1243-05:00,all games finished,2023-12-26T13:19:27.735951-05:00
