id,batchID,batchIDLastChangedAt,groupID,groupIDLastChangedAt,status,statusLastChangedAt,treatmentName,treatmentNameLastChangedAt,endedReason,endedReasonLastChangedAt,start,startLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,treatment,treatmentLastChangedAt,ended,endedLastChangedAt,chat,chatLastChangedAt
01HJA8Q2DW7RJCJ8F8C4JCP2EK,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-22T21:40:21.949002-05:00,01HJA8Q2E6JXT2C1VCA0Z1JEV7,2023-12-22T21:40:21.963456-05:00,terminated,2023-12-23T13:38:54.612058-05:00,Two Players,2023-12-22T21:40:21.949002-05:00,batch ended,2023-12-23T13:38:54.612058-05:00,true,2023-12-23T13:38:12.891098-05:00,01HJBZGFBTVCVM6A7DP7TFZBFH,2023-12-23T13:37:57.5068-05:00,7,2023-12-23T13:38:12.928605-05:00,,2023-12-23T13:38:54.63808-05:00,"{""playerCount"":2}",2023-12-22T21:40:21.949002-05:00,true,2023-12-23T13:38:54.63808-05:00,,
01HJBZKCHAA5N4F5CQ2DEK9DFK,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:39:32.906159-05:00,01HJBZKCHHRMY9711GKTSYVWKV,2023-12-23T13:39:32.920031-05:00,ended,2023-12-23T13:41:04.958705-05:00,Solo,2023-12-23T13:39:32.906159-05:00,end of game,2023-12-23T13:41:04.958705-05:00,true,2023-12-23T13:39:52.773895-05:00,,,7,2023-12-23T13:39:52.874493-05:00,,2023-12-23T13:41:04.949349-05:00,"{""playerCount"":1}",2023-12-23T13:39:32.906159-05:00,true,2023-12-23T13:41:04.949349-05:00,,
01HJC19KPH3KBDX1R0NEQEK8D3,01HJC19KNK9ZQRGYH0JXVGFCME,2023-12-23T14:09:09.713915-05:00,01HJC19KPQJMXC7XE2PJQZP5GF,2023-12-23T14:09:09.733817-05:00,terminated,2023-12-23T14:10:00.675685-05:00,Two Players,2023-12-23T14:09:09.713915-05:00,batch ended,2023-12-23T14:10:00.675685-05:00,true,2023-12-23T14:09:52.22245-05:00,01HJC1AD1B77RERHC90RR9NX5H,2023-12-23T14:09:35.666143-05:00,7,2023-12-23T14:09:52.256504-05:00,,2023-12-23T14:10:00.701165-05:00,"{""playerCount"":2}",2023-12-23T14:09:09.713915-05:00,true,2023-12-23T14:10:00.701165-05:00,,
01HJC1BGQHTKWM50GRNSZJZ6GE,01HJC1BGQB97MT6JYBFA9P3S3C,2023-12-23T14:10:12.209351-05:00,01HJC1BGQNTT2G9E4PS3AXW8YV,2023-12-23T14:10:12.218501-05:00,ended,2023-12-23T14:12:28.967827-05:00,Solo,2023-12-23T14:10:12.209351-05:00,end of game,2023-12-23T14:12:28.967827-05:00,true,2023-12-23T14:10:27.820454-05:00,,,7,2023-12-23T14:10:27.923669-05:00,,2023-12-23T14:12:28.960955-05:00,"{""playerCount"":1}",2023-12-23T14:10:12.209351-05:00,true,2023-12-23T14:12:28.960955-05:00,,
01HJC1FT2E88XCBDBKE20YZ56B,01HJC1FT26XKWFCC1M4MWNFPSP,2023-12-23T14:12:32.846591-05:00,01HJC1FT2M5TBZHGHY7SZNMPRV,2023-12-23T14:12:32.860766-05:00,ended,2023-12-23T14:14:20.793458-05:00,Solo,2023-12-23T14:12:32.846591-05:00,end of game,2023-12-23T14:14:20.793458-05:00,true,2023-12-23T14:12:47.496092-05:00,,,7,2023-12-23T14:12:47.595613-05:00,,2023-12-23T14:14:20.788-05:00,"{""playerCount"":1}",2023-12-23T14:12:32.846591-05:00,true,2023-12-23T14:14:20.788-05:00,,
01HJC31X0SRH4PZ8DESHJ66DTM,01HJC31X081Y34RSPJ2NG9065V,2023-12-23T14:39:54.265339-05:00,01HJC31X128XF2DJ0DMW2WE3CR,2023-12-23T14:39:54.2824-05:00,terminated,2023-12-23T14:40:59.119614-05:00,Two Players,2023-12-23T14:39:54.265339-05:00,batch ended,2023-12-23T14:40:59.119614-05:00,true,2023-12-23T14:40:17.975183-05:00,01HJC32JVAH8Q8X4FMYS8QF4FQ,2023-12-23T14:40:16.62432-05:00,7,2023-12-23T14:40:18.012624-05:00,,2023-12-23T14:40:59.151415-05:00,"{""playerCount"":2}",2023-12-23T14:39:54.265339-05:00,true,2023-12-23T14:40:59.151415-05:00,,
01HJC341NPY8P2ZSKMRTKV8WDS,01HJC341NDY67B4C20JKPTJNY4,2023-12-23T14:41:04.566103-05:00,01HJC341NZ9A5VK2VVFV6VJCZ1,2023-12-23T14:41:04.580615-05:00,terminated,2023-12-23T14:42:42.448481-05:00,Two Players,2023-12-23T14:41:04.566103-05:00,batch ended,2023-12-23T14:42:42.448481-05:00,true,2023-12-23T14:41:51.680587-05:00,01HJC34TKMGNAPS3QAF0MVJQXC,2023-12-23T14:41:30.105611-05:00,7,2023-12-23T14:41:51.718407-05:00,,2023-12-23T14:42:42.477447-05:00,"{""playerCount"":2}",2023-12-23T14:41:04.566103-05:00,true,2023-12-23T14:42:42.477447-05:00,,
01HJC372CG0H78ARGMA8R9AC11,01HJC372C7GHTWSS2EPXP7YPY8,2023-12-23T14:42:43.600742-05:00,01HJC372CQH94CTR5SDTDAFFF4,2023-12-23T14:42:43.613968-05:00,terminated,2023-12-23T14:43:40.990728-05:00,Two Players,2023-12-23T14:42:43.600742-05:00,batch ended,2023-12-23T14:43:40.990728-05:00,true,2023-12-23T14:43:02.791242-05:00,01HJC37KKWV7W6NBSV1GR7TTXX,2023-12-23T14:43:01.249053-05:00,7,2023-12-23T14:43:02.824372-05:00,,2023-12-23T14:43:41.019809-05:00,"{""playerCount"":2}",2023-12-23T14:42:43.600742-05:00,true,2023-12-23T14:43:41.019809-05:00,,
01HJC38Y8AQ4E6NF1EGTPM26CN,01HJC38Y7ZPZFYSSJ4635WP7JA,2023-12-23T14:43:44.906407-05:00,01HJC38Y8H28NMNYZV0D577DEG,2023-12-23T14:43:44.9205-05:00,terminated,2023-12-23T14:56:41.02522-05:00,Two Players,2023-12-23T14:43:44.906407-05:00,batch ended,2023-12-23T14:56:41.02522-05:00,true,2023-12-23T14:49:16.557828-05:00,01HJC3JZ9ZTA8FXYJ8CF2A8VPK,2023-12-23T14:49:13.669059-05:00,7,2023-12-23T14:49:16.594568-05:00,,2023-12-23T14:56:41.039056-05:00,"{""playerCount"":2}",2023-12-23T14:43:44.906407-05:00,true,2023-12-23T14:56:41.039056-05:00,,
01HJC40N5T62QMMRK7FD6Q6C8R,01HJC40N5QXZM9EF2821BY15F8,2023-12-23T14:56:42.04239-05:00,01HJC40N5X2W5GTTT44W2CXCN3,2023-12-23T14:56:42.047949-05:00,ended,2023-12-23T15:56:17.228526-05:00,Two Players,2023-12-23T14:56:42.04239-05:00,end of game,2023-12-23T15:56:17.228526-05:00,true,2023-12-23T14:57:04.072671-05:00,01HJC4190CJQ6P11PAWT43G4XW,2023-12-23T14:57:02.350291-05:00,7,2023-12-23T14:57:04.087557-05:00,,2023-12-23T15:56:17.222971-05:00,"{""playerCount"":2}",2023-12-23T14:56:42.04239-05:00,true,2023-12-23T15:56:17.222971-05:00,"{""text"":""hi"",""sender"":{""id"":""01HJC4178J5AFHGBGC10SHKS66"",""name"":""01HJC4178J5AFHGBGC10SHKS66""}}",2023-12-23T15:00:58.499003-05:00
