id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01HJBZGYD0DXM54RHGMTBR8XPX,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.896696-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.896696-05:00,01HJA8QXRFD1PH63YH5FEWH15T,2023-12-23T13:38:12.896696-05:00
01HJBZGYD41MDD5VGB2VBD2B36,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.900935-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.900935-05:00,01HJBZGWGKYTCA1HVVDE61X30B,2023-12-23T13:38:12.900935-05:00
01HJBZM012DZMFPPP7V6P8VQE1,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:39:52.866105-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:39:52.866105-05:00,01HJBZKX1B48D1100NAYF9JK1N,2023-12-23T13:39:52.866105-05:00
01HJC1AX72HCSGQCW24Y8HMQHF,01HJC19KNK9ZQRGYH0JXVGFCME,2023-12-23T14:09:52.226405-05:00,01HJC19KPH3KBDX1R0NEQEK8D3,2023-12-23T14:09:52.226405-05:00,01HJC1AA1CVGNAKQMNZ7HW5BRP,2023-12-23T14:09:52.226405-05:00
01HJC1AX76E66S8XZEBSVJQT1W,01HJC19KNK9ZQRGYH0JXVGFCME,2023-12-23T14:09:52.230739-05:00,01HJC19KPH3KBDX1R0NEQEK8D3,2023-12-23T14:09:52.230739-05:00,01HJC1AVMZSPE1RKJKTW8WTWVB,2023-12-23T14:09:52.230739-05:00
01HJC1C02B02QW98NWZWBTTWAN,01HJC1BGQB97MT6JYBFA9P3S3C,2023-12-23T14:10:27.915037-05:00,01HJC1BGQHTKWM50GRNSZJZ6GE,2023-12-23T14:10:27.915037-05:00,01HJC1BYY9VS70X4SK6T547ENC,2023-12-23T14:10:27.915037-05:00
01HJC1G8F3A1NG8TQ9NXK4EMQ2,01HJC1FT26XKWFCC1M4MWNFPSP,2023-12-23T14:12:47.587094-05:00,01HJC1FT2E88XCBDBKE20YZ56B,2023-12-23T14:12:47.587094-05:00,01HJC1G6B0X9BYH2HP5SW3ZRFD,2023-12-23T14:12:47.587094-05:00
01HJC32M5V5WREHDQ4TY2N51DS,01HJC31X081Y34RSPJ2NG9065V,2023-12-23T14:40:17.97962-05:00,01HJC31X0SRH4PZ8DESHJ66DTM,2023-12-23T14:40:17.97962-05:00,01HJC32A7SDCR3AR9VJ4F6ERZC,2023-12-23T14:40:17.97962-05:00
01HJC32M62JD0H93NWG3ZGV677,01HJC31X081Y34RSPJ2NG9065V,2023-12-23T14:40:17.986056-05:00,01HJC31X0SRH4PZ8DESHJ66DTM,2023-12-23T14:40:17.986056-05:00,01HJC32GSNEM8HZVF5PEBR3CJ3,2023-12-23T14:40:17.986056-05:00
01HJC35FP3K6F2V7FXNN9KXEFW,01HJC341NDY67B4C20JKPTJNY4,2023-12-23T14:41:51.683744-05:00,01HJC341NPY8P2ZSKMRTKV8WDS,2023-12-23T14:41:51.683744-05:00,01HJC34M3AC5W111336A2VXF59,2023-12-23T14:41:51.683744-05:00
01HJC35FP74FYKHT5NHN6JE4JS,01HJC341NDY67B4C20JKPTJNY4,2023-12-23T14:41:51.68791-05:00,01HJC341NPY8P2ZSKMRTKV8WDS,2023-12-23T14:41:51.68791-05:00,01HJC35DJWP4FQ39N72E2J15BE,2023-12-23T14:41:51.68791-05:00
01HJC37N4BM58VY2FAGW4Y7G49,01HJC372C7GHTWSS2EPXP7YPY8,2023-12-23T14:43:02.795612-05:00,01HJC372CG0H78ARGMA8R9AC11,2023-12-23T14:43:02.795612-05:00,01HJC37F4M4P6RBK7YCGJQ4TBZ,2023-12-23T14:43:02.795612-05:00
01HJC37N4GXBK2FBSCMDFXWGE9,01HJC372C7GHTWSS2EPXP7YPY8,2023-12-23T14:43:02.800569-05:00,01HJC372CG0H78ARGMA8R9AC11,2023-12-23T14:43:02.800569-05:00,01HJC37HENWY2N5DMXD934F51F,2023-12-23T14:43:02.800569-05:00
01HJC3K24KBB1VXXRBBE9PYHFC,01HJC38Y7ZPZFYSSJ4635WP7JA,2023-12-23T14:49:16.563969-05:00,01HJC38Y8AQ4E6NF1EGTPM26CN,2023-12-23T14:49:16.563969-05:00,01HJC39HR24CE3P1BY83DB8S6P,2023-12-23T14:49:16.563969-05:00
01HJC3K24SJ6VNZ9AXS5NG8VCF,01HJC38Y7ZPZFYSSJ4635WP7JA,2023-12-23T14:49:16.569955-05:00,01HJC38Y8AQ4E6NF1EGTPM26CN,2023-12-23T14:49:16.569955-05:00,01HJC39W92BYQXPQ688W3SS2NW,2023-12-23T14:49:16.569955-05:00
01HJC41APARFZAYCAGPBAPT8D7,01HJC40N5QXZM9EF2821BY15F8,2023-12-23T14:57:04.074246-05:00,01HJC40N5T62QMMRK7FD6Q6C8R,2023-12-23T14:57:04.074246-05:00,01HJC412706YK15FA1SCMF04N2,2023-12-23T14:57:04.074246-05:00
01HJC41APBPE31JM6XX8WW75DY,01HJC40N5QXZM9EF2821BY15F8,2023-12-23T14:57:04.075735-05:00,01HJC40N5T62QMMRK7FD6Q6C8R,2023-12-23T14:57:04.075735-05:00,01HJC4178J5AFHGBGC10SHKS66,2023-12-23T14:57:04.075735-05:00
01HJEHD5HAKEWP29WP7APCE0P8,01HJEHC957QN5HR1N594JT2C2M,2023-12-24T13:29:12.362727-05:00,01HJEHC95NA50VZBFKZGEGVXEY,2023-12-24T13:29:12.362727-05:00,01HJEHD15H3D73EEXKG6KKY5MR,2023-12-24T13:29:12.362727-05:00
01HJEHD5HE3K1VRHCY8DS6Q6JY,01HJEHC957QN5HR1N594JT2C2M,2023-12-24T13:29:12.366651-05:00,01HJEHC95NA50VZBFKZGEGVXEY,2023-12-24T13:29:12.366651-05:00,01HJEHD3TNCX3BYZES9GTM1KV7,2023-12-24T13:29:12.366651-05:00
01HJEJC169H43DF14HA5KP6V57,01HJEJBGN340G6BH3DK2BHG5GN,2023-12-24T13:46:03.721395-05:00,01HJEJBGNF6NXKVER71QXDTQDD,2023-12-24T13:46:03.721395-05:00,01HJEJBR0A1AAB343Y5P7ZWBZB,2023-12-24T13:46:03.721395-05:00
01HJEJC16DEEP1176RM0DF3DKM,01HJEJBGN340G6BH3DK2BHG5GN,2023-12-24T13:46:03.725756-05:00,01HJEJBGNF6NXKVER71QXDTQDD,2023-12-24T13:46:03.725756-05:00,01HJEJBZYSNHS9JMX9SMMZBPQJ,2023-12-24T13:46:03.725756-05:00
01HJEKX68BS31PKNKQV5N4EFQK,01HJEKW75V21GQMFAX25JP3S7N,2023-12-24T14:12:54.53912-05:00,01HJEKW76AB9B76W4H8XJ7VM2A,2023-12-24T14:12:54.53912-05:00,01HJEKWY5WN9HZVE9FPMPNS9R4,2023-12-24T14:12:54.53912-05:00
01HJEKX68GDYT3EDM2T5SMEBWW,01HJEKW75V21GQMFAX25JP3S7N,2023-12-24T14:12:54.544947-05:00,01HJEKW76AB9B76W4H8XJ7VM2A,2023-12-24T14:12:54.544947-05:00,01HJEKX44GAN8C1BQFC1XZEJ8W,2023-12-24T14:12:54.544947-05:00
01HJEM6KRDHDRCW1PWNCHDCC55,01HJEM67H4DJVWSX0TMTY91E1M,2023-12-24T14:18:03.27708-05:00,01HJEM67HKFPPCJBVPPYX0QGEW,2023-12-24T14:18:03.27708-05:00,01HJEM6D18CPPDKEC0Z97NH497,2023-12-24T14:18:03.27708-05:00
01HJEM6KRK5958PQGQT6ES57PF,01HJEM67H4DJVWSX0TMTY91E1M,2023-12-24T14:18:03.283772-05:00,01HJEM67HKFPPCJBVPPYX0QGEW,2023-12-24T14:18:03.283772-05:00,01HJEM6JMR41ZST84SY4RYGYSD,2023-12-24T14:18:03.283772-05:00
01HJEMD44168M43H1KR9E5VZ39,01HJEMCSQ5FK7EBC3QHJY1VMF2,2023-12-24T14:21:36.641144-05:00,01HJEMCSQF7VWRR5J12BNPZ4XZ,2023-12-24T14:21:36.641144-05:00,01HJEMCXJ1KN2Y5SHK7WYY7NJT,2023-12-24T14:21:36.641144-05:00
01HJEMD446RNN375MTGAFE2SWB,01HJEMCSQ5FK7EBC3QHJY1VMF2,2023-12-24T14:21:36.646824-05:00,01HJEMCSQF7VWRR5J12BNPZ4XZ,2023-12-24T14:21:36.646824-05:00,01HJEMD0XZRW8YN1WSY62Y16M6,2023-12-24T14:21:36.646824-05:00
