id,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01HJBZGYHKXRV05Y6B0K6PVMZ0,01HJA8QXRFD1PH63YH5FEWH15T,2023-12-23T13:38:13.043218-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:13.043218-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:13.043218-05:00,01HJBZGYDSSGJEJJ16XMBXTB0C,2023-12-23T13:38:13.043218-05:00,01HJBZGYERKWVTPNHQRSWE4PH2,2023-12-23T13:38:13.043218-05:00,,
01HJBZGYHMQEVYTB2TB5DGP76F,01HJBZGWGKYTCA1HVVDE61X30B,2023-12-23T13:38:13.044864-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:13.044864-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:13.044864-05:00,01HJBZGYDSSGJEJJ16XMBXTB0C,2023-12-23T13:38:13.044864-05:00,01HJBZGYERKWVTPNHQRSWE4PH2,2023-12-23T13:38:13.044864-05:00,,
01HJBZM040RXRZGJZPDTP8HSCV,01HJBZKX1B48D1100NAYF9JK1N,2023-12-23T13:39:52.960227-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:39:52.960227-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:39:52.960227-05:00,01HJBZM016B7XJ6FW7YKTVESPY,2023-12-23T13:39:52.960227-05:00,01HJBZM01TN8F48YBVTAFGD4NM,2023-12-23T13:39:52.960227-05:00,true,2023-12-23T13:40:21.997697-05:00
01HJBZMWGHDS97WY91AG0JJMR9,01HJBZKX1B48D1100NAYF9JK1N,2023-12-23T13:40:22.033597-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:40:22.033597-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:40:22.033597-05:00,01HJBZM0175BZPAV847746KHZJ,2023-12-23T13:40:22.033597-05:00,01HJBZM01VPF32AQCX80E0J33G,2023-12-23T13:40:22.033597-05:00,true,2023-12-23T13:40:30.393477-05:00
01HJBZN4Q55DYY64N64M83NTVJ,01HJBZKX1B48D1100NAYF9JK1N,2023-12-23T13:40:30.437591-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:40:30.437591-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:40:30.437591-05:00,01HJBZM0175BZPAV847TRZ2QBR,2023-12-23T13:40:30.437591-05:00,01HJBZM01X3X06PVN1B022H18E,2023-12-23T13:40:30.437591-05:00,true,2023-12-23T13:40:39.862224-05:00
01HJBZNDYPJPRJVSNBA2XF11S9,01HJBZKX1B48D1100NAYF9JK1N,2023-12-23T13:40:39.894239-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:40:39.894239-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:40:39.894239-05:00,01HJBZM018KPT664VBGV546MRM,2023-12-23T13:40:39.894239-05:00,01HJBZM02199XJVD6TJQ2Y9PP1,2023-12-23T13:40:39.894239-05:00,true,2023-12-23T13:40:43.57366-05:00
01HJBZNHK2QM466M7ASRZQZGDZ,01HJBZKX1B48D1100NAYF9JK1N,2023-12-23T13:40:43.618044-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:40:43.618044-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:40:43.618044-05:00,01HJBZM018KPT664VBH70E16S1,2023-12-23T13:40:43.618044-05:00,01HJBZM025WA2XGAP4XG4GTD6M,2023-12-23T13:40:43.618044-05:00,true,2023-12-23T13:40:53.763775-05:00
01HJBZNVHBC4R31X704XANAXBD,01HJBZKX1B48D1100NAYF9JK1N,2023-12-23T13:40:53.803321-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:40:53.803321-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:40:53.803321-05:00,01HJBZM019ZM99JNWBAV48TP7Q,2023-12-23T13:40:53.803321-05:00,01HJBZM027NVB7SS4JG7YZTMBA,2023-12-23T13:40:53.803321-05:00,true,2023-12-23T13:40:55.718815-05:00
01HJBZNXE9XYK20NCJS3YXTTY4,01HJBZKX1B48D1100NAYF9JK1N,2023-12-23T13:40:55.753035-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:40:55.753035-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:40:55.753035-05:00,01HJBZM019ZM99JNWBBCM5ZEP2,2023-12-23T13:40:55.753035-05:00,01HJBZM0299ZSKSGNJ6P296ZVA,2023-12-23T13:40:55.753035-05:00,true,2023-12-23T13:41:01.422889-05:00
01HJBZP30HVFWF8BP6BNPFHSFN,01HJBZKX1B48D1100NAYF9JK1N,2023-12-23T13:41:01.457819-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:41:01.457819-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:41:01.457819-05:00,01HJBZM01A7MS81X6EHP6878P4,2023-12-23T13:41:01.457819-05:00,01HJBZM02A597VRVHZKM2G9AF4,2023-12-23T13:41:01.457819-05:00,true,2023-12-23T13:41:04.933294-05:00
01HJC1AXBSAVC8W6S88PA8F8H8,01HJC1AA1CVGNAKQMNZ7HW5BRP,2023-12-23T14:09:52.37729-05:00,01HJC19KNK9ZQRGYH0JXVGFCME,2023-12-23T14:09:52.37729-05:00,01HJC19KPH3KBDX1R0NEQEK8D3,2023-12-23T14:09:52.37729-05:00,01HJC1AX7PM2PZ04H17EYYVM54,2023-12-23T14:09:52.37729-05:00,01HJC1AX8W37667BZ9Y2M5EE98,2023-12-23T14:09:52.37729-05:00,,
