id,stageIndex,stageIndexLastChangedAt,index,indexLastChangedAt,ended,endedLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt,gameID,gameIDLastChangedAt,name,nameLastChangedAt,batchID,batchIDLastChangedAt
01HJBZGYDSSGJEJJ16XMBXTB0C,1,2023-12-23T13:38:12.952757-05:00,0,2023-12-23T13:38:12.921211-05:00,true,2023-12-23T13:38:54.627978-05:00,true,2023-12-23T13:38:12.98599-05:00,advertise,2023-12-23T13:38:12.921211-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.921211-05:00,Advertise,2023-12-23T13:38:12.921211-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.921211-05:00
01HJBZGYDSSGJEJJ16Y3HTZ2M7,1,2023-12-23T13:38:12.959693-05:00,1,2023-12-23T13:38:12.921575-05:00,false,2023-12-23T13:38:12.921575-05:00,false,2023-12-23T13:38:12.921575-05:00,results,2023-12-23T13:38:12.921575-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.921575-05:00,Results,2023-12-23T13:38:12.921575-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.921575-05:00
01HJBZGYDSSGJEJJ16YH1TED56,1,2023-12-23T13:38:12.967955-05:00,2,2023-12-23T13:38:12.92185-05:00,false,2023-12-23T13:38:12.92185-05:00,false,2023-12-23T13:38:12.92185-05:00,advertise2,2023-12-23T13:38:12.92185-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.92185-05:00,Advertise,2023-12-23T13:38:12.92185-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.92185-05:00
01HJBZGYDTX18KRZ19WYMKMFE9,1,2023-12-23T13:38:12.967955-05:00,3,2023-12-23T13:38:12.922197-05:00,false,2023-12-23T13:38:12.922197-05:00,false,2023-12-23T13:38:12.922197-05:00,results2,2023-12-23T13:38:12.922197-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.922197-05:00,Results,2023-12-23T13:38:12.922197-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.922197-05:00
01HJBZGYDTX18KRZ19X9Q20RZH,1,2023-12-23T13:38:12.969809-05:00,4,2023-12-23T13:38:12.922577-05:00,false,2023-12-23T13:38:12.922577-05:00,false,2023-12-23T13:38:12.922577-05:00,advertise3,2023-12-23T13:38:12.922577-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.922577-05:00,Advertise,2023-12-23T13:38:12.922577-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.922577-05:00
01HJBZGYDX9Q3EEDQFRFKRA4E7,1,2023-12-23T13:38:12.974082-05:00,5,2023-12-23T13:38:12.925377-05:00,false,2023-12-23T13:38:12.925377-05:00,false,2023-12-23T13:38:12.925377-05:00,results3,2023-12-23T13:38:12.925377-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.925377-05:00,Results,2023-12-23T13:38:12.925377-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.925377-05:00
01HJBZGYDY96CJDZAM2TAHGA71,1,2023-12-23T13:38:12.974082-05:00,6,2023-12-23T13:38:12.926786-05:00,false,2023-12-23T13:38:12.926786-05:00,false,2023-12-23T13:38:12.926786-05:00,advertise4,2023-12-23T13:38:12.926786-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.926786-05:00,Advertise,2023-12-23T13:38:12.926786-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.926786-05:00
01HJBZGYDZQXB3BHZ9E077E1MB,1,2023-12-23T13:38:12.976936-05:00,7,2023-12-23T13:38:12.927676-05:00,false,2023-12-23T13:38:12.927676-05:00,false,2023-12-23T13:38:12.927676-05:00,results4,2023-12-23T13:38:12.927676-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.927676-05:00,Game Results,2023-12-23T13:38:12.927676-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.927676-05:00
01HJBZM016B7XJ6FW7YKTVESPY,1,2023-12-23T13:39:52.890673-05:00,0,2023-12-23T13:39:52.870901-05:00,true,2023-12-23T13:40:22.009145-05:00,true,2023-12-23T13:39:52.912359-05:00,advertise,2023-12-23T13:39:52.870901-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:39:52.870901-05:00,Advertise,2023-12-23T13:39:52.870901-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:39:52.870901-05:00
01HJBZM0175BZPAV847746KHZJ,1,2023-12-23T13:39:52.892253-05:00,1,2023-12-23T13:39:52.871047-05:00,true,2023-12-23T13:40:30.407158-05:00,true,2023-12-23T13:40:22.015645-05:00,results,2023-12-23T13:39:52.871047-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:39:52.871047-05:00,Results,2023-12-23T13:39:52.871047-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:39:52.871047-05:00
