id,roundID,roundIDLastChangedAt,index,indexLastChangedAt,status,statusLastChangedAt,name,nameLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,initialized,initializedLastChangedAt,duration,durationLastChangedAt,batchID,batchIDLastChangedAt,timerID,timerIDLastChangedAt,started,startedLastChangedAt,endedReason,endedReasonLastChangedAt
01HJBZGYERKWVTPNHQRSWE4PH2,01HJBZGYDSSGJEJJ16XMBXTB0C,2023-12-23T13:38:12.952037-05:00,0,2023-12-23T13:38:12.952037-05:00,ended,2023-12-23T13:38:54.612058-05:00,advertiseProduct,2023-12-23T13:38:12.952037-05:00,true,2023-12-23T13:38:54.61586-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.952037-05:00,true,2023-12-23T13:38:13.038778-05:00,true,2023-12-23T13:38:13.046159-05:00,240,2023-12-23T13:38:12.952037-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.952037-05:00,01HJBZGYE3YQ0YCRQ24NK8VXZ3,2023-12-23T13:38:12.952037-05:00,true,2023-12-23T13:38:13.050105-05:00,batch ended,2023-12-23T13:38:54.612058-05:00
01HJBZGYEZKA2Z0Q989NWERR3C,01HJBZGYDSSGJEJJ16Y3HTZ2M7,2023-12-23T13:38:12.959267-05:00,0,2023-12-23T13:38:12.959267-05:00,,,Result,2023-12-23T13:38:12.959267-05:00,false,2023-12-23T13:38:12.959267-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.959267-05:00,false,2023-12-23T13:38:12.959267-05:00,,,140,2023-12-23T13:38:12.959267-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.959267-05:00,01HJBZGYE501XWNXBARY69ECJX,2023-12-23T13:38:12.959267-05:00,,,,
01HJBZGYF6ADJDGAE7NP3Q5RFB,01HJBZGYDTX18KRZ19WYMKMFE9,2023-12-23T13:38:12.966663-05:00,0,2023-12-23T13:38:12.966663-05:00,,,Result,2023-12-23T13:38:12.966663-05:00,false,2023-12-23T13:38:12.966663-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.966663-05:00,false,2023-12-23T13:38:12.966663-05:00,,,140,2023-12-23T13:38:12.966663-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.966663-05:00,01HJBZGYEAMYHEZHEFA2SDPNE0,2023-12-23T13:38:12.966663-05:00,,,,
01HJBZGYF7EAQ63Q3MS528ZDMA,01HJBZGYDSSGJEJJ16YH1TED56,2023-12-23T13:38:12.967751-05:00,0,2023-12-23T13:38:12.967751-05:00,,,advertiseProduct,2023-12-23T13:38:12.967751-05:00,false,2023-12-23T13:38:12.967751-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.967751-05:00,false,2023-12-23T13:38:12.967751-05:00,,,240,2023-12-23T13:38:12.967751-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.967751-05:00,01HJBZGYEBHSEXWQWFNAX9QFXN,2023-12-23T13:38:12.967751-05:00,,,,
01HJBZGYF9426DAJF6TWE8DXVW,01HJBZGYDTX18KRZ19X9Q20RZH,2023-12-23T13:38:12.969188-05:00,0,2023-12-23T13:38:12.969188-05:00,,,advertiseProduct,2023-12-23T13:38:12.969188-05:00,false,2023-12-23T13:38:12.969188-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.969188-05:00,false,2023-12-23T13:38:12.969188-05:00,,,240,2023-12-23T13:38:12.969188-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.969188-05:00,01HJBZGYEBHSEXWQWFNJQ2X354,2023-12-23T13:38:12.969188-05:00,,,,
01HJBZGYFC88QR3DCKZ6GNG2J4,01HJBZGYDX9Q3EEDQFRFKRA4E7,2023-12-23T13:38:12.97297-05:00,0,2023-12-23T13:38:12.97297-05:00,,,Result,2023-12-23T13:38:12.97297-05:00,false,2023-12-23T13:38:12.97297-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.97297-05:00,false,2023-12-23T13:38:12.97297-05:00,,,140,2023-12-23T13:38:12.97297-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.97297-05:00,01HJBZGYEEBA65TMFY0M865FAK,2023-12-23T13:38:12.97297-05:00,,,,
01HJBZGYFEC0VMFJNDZT3DPJSP,01HJBZGYDY96CJDZAM2TAHGA71,2023-12-23T13:38:12.974009-05:00,0,2023-12-23T13:38:12.974009-05:00,,,advertiseProduct,2023-12-23T13:38:12.974009-05:00,false,2023-12-23T13:38:12.974009-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.974009-05:00,false,2023-12-23T13:38:12.974009-05:00,,,240,2023-12-23T13:38:12.974009-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.974009-05:00,01HJBZGYEHSAQ53TF230RY3BV7,2023-12-23T13:38:12.974009-05:00,,,,
01HJBZGYFFWDKPBRG0PX455X3M,01HJBZGYDZQXB3BHZ9E077E1MB,2023-12-23T13:38:12.975667-05:00,0,2023-12-23T13:38:12.975667-05:00,,,Result,2023-12-23T13:38:12.975667-05:00,false,2023-12-23T13:38:12.975667-05:00,01HJA8Q2DW7RJCJ8F8C4JCP2EK,2023-12-23T13:38:12.975667-05:00,false,2023-12-23T13:38:12.975667-05:00,,,140,2023-12-23T13:38:12.975667-05:00,01HJA8Q2D9KAJ86YA4RDY2J2FX,2023-12-23T13:38:12.975667-05:00,01HJBZGYEMV0XMHJVJZ6J0RQQE,2023-12-23T13:38:12.975667-05:00,,,,
01HJBZM01TN8F48YBVTAFGD4NM,01HJBZM016B7XJ6FW7YKTVESPY,2023-12-23T13:39:52.890244-05:00,0,2023-12-23T13:39:52.890244-05:00,,,advertiseProduct,2023-12-23T13:39:52.890244-05:00,true,2023-12-23T13:40:22.003366-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:39:52.890244-05:00,true,2023-12-23T13:39:52.95887-05:00,true,2023-12-23T13:39:52.961467-05:00,240,2023-12-23T13:39:52.890244-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:39:52.890244-05:00,01HJBZM01B2N15G05234RE9A82,2023-12-23T13:39:52.890244-05:00,true,2023-12-23T13:39:52.963986-05:00,,
01HJBZM01VPF32AQCX80E0J33G,01HJBZM0175BZPAV847746KHZJ,2023-12-23T13:39:52.89143-05:00,0,2023-12-23T13:39:52.89143-05:00,,,Result,2023-12-23T13:39:52.89143-05:00,true,2023-12-23T13:40:30.40118-05:00,01HJBZKCHAA5N4F5CQ2DEK9DFK,2023-12-23T13:39:52.89143-05:00,true,2023-12-23T13:40:22.029025-05:00,true,2023-12-23T13:40:22.036451-05:00,140,2023-12-23T13:39:52.89143-05:00,01HJBZKCGYXS6PJCEJ5YAAQBJ1,2023-12-23T13:39:52.89143-05:00,01HJBZM01B2N15G052397Y3KEC,2023-12-23T13:39:52.89143-05:00,true,2023-12-23T13:40:22.041089-05:00,,
