id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,playerID,playerIDLastChangedAt,advertisementQuality,advertisementQualityLastChangedAt
01HK6SJ6G8RQHFTWBPND4K23M9,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.168346-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.168346-05:00,01HK6SJ6B8ND8NDPF7NWQG8FT4,2024-01-02T23:33:32.168346-05:00,01HK6SJ5H58M1HDHMX9R39M2V1,2024-01-02T23:33:32.168346-05:00,,
01HK6SJG9B1NEM4VEZPDAX5TSR,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:42.187199-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:42.187199-05:00,01HK6SJ6B9TS3A73QY501EFQ5M,2024-01-02T23:33:42.187199-05:00,01HK6SJ5H58M1HDHMX9R39M2V1,2024-01-02T23:33:42.187199-05:00,,
01HK6SJJMA5KCN8JHJNWW580RQ,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:44.586776-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:44.586776-05:00,01HK6SJ6BA3G93BEX0VJYS8RM0,2024-01-02T23:33:44.586776-05:00,01HK6SJ5H58M1HDHMX9R39M2V1,2024-01-02T23:33:44.586776-05:00,low,2024-01-02T23:33:45.731116-05:00
01HK6SJR1CCWN4V1C9NEPHP0QA,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:50.124818-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:50.124818-05:00,01HK6SJ6BBH9CP5H6T7CP6V8KD,2024-01-02T23:33:50.124818-05:00,01HK6SJ5H58M1HDHMX9R39M2V1,2024-01-02T23:33:50.124818-05:00,,
01HK6SJVTJWDKVVMXTBWDBQ0TF,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:54.002448-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:54.002448-05:00,01HK6SJ6BBH9CP5H6T7X2N5GJD,2024-01-02T23:33:54.002448-05:00,01HK6SJ5H58M1HDHMX9R39M2V1,2024-01-02T23:33:54.002448-05:00,,
01HK7ZMGRT01VD6B7ZHZPWXPZR,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:38:54.106406-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:38:54.106406-05:00,01HK7ZMGKZJ10308D6QR966S9V,2024-01-03T10:38:54.106406-05:00,01HK7ZM0JVEM9QPZ2BK9PZNYKZ,2024-01-03T10:38:54.106406-05:00,,
01HK7ZMGSF1G0SXJR8E4XDMJRE,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:38:54.127533-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:38:54.127533-05:00,01HK7ZMGKZJ10308D6QR966S9V,2024-01-03T10:38:54.127533-05:00,01HK7ZM7C1RK8SDNRKJ62TAAEX,2024-01-03T10:38:54.127533-05:00,,
01HK7ZMGSGGS802BKP14ZFPAZ7,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:38:54.128952-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:38:54.128952-05:00,01HK7ZMGKZJ10308D6QR966S9V,2024-01-03T10:38:54.128952-05:00,01HK7ZMBE4MJV9523SMJZD5M14,2024-01-03T10:38:54.128952-05:00,,
01HK7ZMSH2F5H6W8S6NMQFQHV5,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:39:03.074618-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:39:03.074618-05:00,01HK7ZMGM06E7E3FWTJCNB7YEW,2024-01-03T10:39:03.074618-05:00,01HK7ZM0JVEM9QPZ2BK9PZNYKZ,2024-01-03T10:39:03.074618-05:00,,
01HK7ZMSH6F8BMSR1A5T1KJKK8,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:39:03.078299-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:39:03.078299-05:00,01HK7ZMGM06E7E3FWTJCNB7YEW,2024-01-03T10:39:03.078299-05:00,01HK7ZM7C1RK8SDNRKJ62TAAEX,2024-01-03T10:39:03.078299-05:00,,
