id,gameID,gameIDLastChangedAt,stageIndex,stageIndexLastChangedAt,task,taskLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,index,indexLastChangedAt
01HK6SJ6B8ND8NDPF7NWQG8FT4,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.008919-05:00,1,2024-01-02T23:33:32.042265-05:00,quality,2024-01-02T23:33:32.008919-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.008919-05:00,true,2024-01-02T23:33:42.178077-05:00,Quality,2024-01-02T23:33:32.008919-05:00,true,2024-01-02T23:33:32.08822-05:00,0,2024-01-02T23:33:32.008919-05:00
01HK6SJ6B9TS3A73QY501EFQ5M,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.009195-05:00,1,2024-01-02T23:33:32.043225-05:00,price,2024-01-02T23:33:32.009195-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.009195-05:00,true,2024-01-02T23:33:44.577489-05:00,Price,2024-01-02T23:33:32.009195-05:00,true,2024-01-02T23:33:42.183643-05:00,1,2024-01-02T23:33:32.009195-05:00
01HK6SJ6BA3G93BEX0VJYS8RM0,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.010247-05:00,1,2024-01-02T23:33:32.044808-05:00,advertise,2024-01-02T23:33:32.010247-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.010247-05:00,true,2024-01-02T23:33:50.115673-05:00,Advertise,2024-01-02T23:33:32.010247-05:00,true,2024-01-02T23:33:44.5829-05:00,2,2024-01-02T23:33:32.010247-05:00
01HK6SJ6BBH9CP5H6T7CP6V8KD,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.011129-05:00,1,2024-01-02T23:33:32.047148-05:00,results,2024-01-02T23:33:32.011129-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.011129-05:00,true,2024-01-02T23:33:53.991754-05:00,Results,2024-01-02T23:33:32.011129-05:00,true,2024-01-02T23:33:50.120872-05:00,3,2024-01-02T23:33:32.011129-05:00
01HK6SJ6BBH9CP5H6T7X2N5GJD,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.011318-05:00,1,2024-01-02T23:33:32.053492-05:00,quality2,2024-01-02T23:33:32.011318-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.011318-05:00,true,2024-01-03T10:38:02.663183-05:00,Quality,2024-01-02T23:33:32.011318-05:00,true,2024-01-02T23:33:53.998222-05:00,4,2024-01-02T23:33:32.011318-05:00
01HK6SJ6BBH9CP5H6T8ET2Z382,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.011807-05:00,1,2024-01-02T23:33:32.050886-05:00,price2,2024-01-02T23:33:32.011807-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.011807-05:00,false,2024-01-02T23:33:32.011807-05:00,Price,2024-01-02T23:33:32.011807-05:00,false,2024-01-02T23:33:32.011807-05:00,5,2024-01-02T23:33:32.011807-05:00
01HK6SJ6BC4Z829V37DXTYSQD1,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.01229-05:00,1,2024-01-02T23:33:32.056407-05:00,advertise2,2024-01-02T23:33:32.01229-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.01229-05:00,false,2024-01-02T23:33:32.01229-05:00,Advertise,2024-01-02T23:33:32.01229-05:00,false,2024-01-02T23:33:32.01229-05:00,6,2024-01-02T23:33:32.01229-05:00
01HK6SJ6BD5JY50EWV5JS7HQDY,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.013132-05:00,1,2024-01-02T23:33:32.059799-05:00,results2,2024-01-02T23:33:32.013132-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.013132-05:00,false,2024-01-02T23:33:32.013132-05:00,Results,2024-01-02T23:33:32.013132-05:00,false,2024-01-02T23:33:32.013132-05:00,7,2024-01-02T23:33:32.013132-05:00
01HK6SJ6BD5JY50EWV652SWN0R,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.01374-05:00,1,2024-01-02T23:33:32.064382-05:00,quality3,2024-01-02T23:33:32.01374-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.01374-05:00,false,2024-01-02T23:33:32.01374-05:00,Quality,2024-01-02T23:33:32.01374-05:00,false,2024-01-02T23:33:32.01374-05:00,8,2024-01-02T23:33:32.01374-05:00
01HK6SJ6BE3BDC6SJF3SJN8TP6,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.014123-05:00,1,2024-01-02T23:33:32.071312-05:00,price3,2024-01-02T23:33:32.014123-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.014123-05:00,false,2024-01-02T23:33:32.014123-05:00,Price,2024-01-02T23:33:32.014123-05:00,false,2024-01-02T23:33:32.014123-05:00,9,2024-01-02T23:33:32.014123-05:00
