id,name,nameLastChangedAt,ended,endedLastChangedAt,roundID,roundIDLastChangedAt,duration,durationLastChangedAt,index,indexLastChangedAt,started,startedLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt,timerID,timerIDLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt,status,statusLastChangedAt
01HK6SJ6C9VWKHD9GTAH0G01AZ,chooseQuality,2024-01-02T23:33:32.041434-05:00,true,2024-01-02T23:33:42.171797-05:00,01HK6SJ6B8ND8NDPF7NWQG8FT4,2024-01-02T23:33:32.041434-05:00,240,2024-01-02T23:33:32.041434-05:00,0,2024-01-02T23:33:32.041434-05:00,true,2024-01-02T23:33:32.206582-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.041434-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.041434-05:00,true,2024-01-02T23:33:32.20119-05:00,01HK6SJ6BJDC7863WYFQV9WG2W,2024-01-02T23:33:32.041434-05:00,true,2024-01-02T23:33:32.204247-05:00,,,,
01HK6SJ6CAEXDHJAA4PKXQTSED,choosePrice,2024-01-02T23:33:32.042744-05:00,true,2024-01-02T23:33:44.572248-05:00,01HK6SJ6B9TS3A73QY501EFQ5M,2024-01-02T23:33:32.042744-05:00,240,2024-01-02T23:33:32.042744-05:00,0,2024-01-02T23:33:32.042744-05:00,true,2024-01-02T23:33:42.200001-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.042744-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.042744-05:00,true,2024-01-02T23:33:42.193524-05:00,01HK6SJ6BJDC7863WYFZRSY0CR,2024-01-02T23:33:32.042744-05:00,true,2024-01-02T23:33:42.19746-05:00,,,,
01HK6SJ6CC8D4V07PDVXNH51ZC,advertiseProduct,2024-01-02T23:33:32.044022-05:00,true,2024-01-02T23:33:50.10126-05:00,01HK6SJ6BA3G93BEX0VJYS8RM0,2024-01-02T23:33:32.044022-05:00,300,2024-01-02T23:33:32.044022-05:00,0,2024-01-02T23:33:32.044022-05:00,true,2024-01-02T23:33:44.599244-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.044022-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.044022-05:00,true,2024-01-02T23:33:44.592146-05:00,01HK6SJ6BKASVSAVGZS2AB9WGB,2024-01-02T23:33:32.044022-05:00,true,2024-01-02T23:33:44.596642-05:00,,,,
01HK6SJ6CETMWYXNK9T9WHM2GH,Result,2024-01-02T23:33:32.046278-05:00,true,2024-01-02T23:33:53.985582-05:00,01HK6SJ6BBH9CP5H6T7CP6V8KD,2024-01-02T23:33:32.046278-05:00,3600,2024-01-02T23:33:32.046278-05:00,0,2024-01-02T23:33:32.046278-05:00,true,2024-01-02T23:33:50.134895-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.046278-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.046278-05:00,true,2024-01-02T23:33:50.12862-05:00,01HK6SJ6BKASVSAVGZS90NDSYY,2024-01-02T23:33:32.046278-05:00,true,2024-01-02T23:33:50.13242-05:00,,,,
01HK6SJ6CHX2WMB37H846A8PS7,choosePrice,2024-01-02T23:33:32.049991-05:00,false,2024-01-02T23:33:32.049991-05:00,01HK6SJ6BBH9CP5H6T8ET2Z382,2024-01-02T23:33:32.049991-05:00,240,2024-01-02T23:33:32.049991-05:00,0,2024-01-02T23:33:32.049991-05:00,,,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.049991-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.049991-05:00,false,2024-01-02T23:33:32.049991-05:00,01HK6SJ6BNSJF7Y66XP8W4G3N5,2024-01-02T23:33:32.049991-05:00,,,,,,
01HK6SJ6CN4Z6C9ZZDNREXJ9FF,chooseQuality,2024-01-02T23:33:32.053028-05:00,true,2024-01-03T10:38:02.652995-05:00,01HK6SJ6BBH9CP5H6T7X2N5GJD,2024-01-02T23:33:32.053028-05:00,240,2024-01-02T23:33:32.053028-05:00,0,2024-01-02T23:33:32.053028-05:00,true,2024-01-02T23:33:54.015993-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.053028-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.053028-05:00,true,2024-01-02T23:33:54.009174-05:00,01HK6SJ6BP5AX01PZPVX4M2C0G,2024-01-02T23:33:32.053028-05:00,true,2024-01-02T23:33:54.013355-05:00,batch ended,2024-01-03T10:38:02.645203-05:00,ended,2024-01-03T10:38:02.645203-05:00
01HK6SJ6CQD1SFSKQ6X5FMRDRS,advertiseProduct,2024-01-02T23:33:32.055588-05:00,false,2024-01-02T23:33:32.055588-05:00,01HK6SJ6BC4Z829V37DXTYSQD1,2024-01-02T23:33:32.055588-05:00,300,2024-01-02T23:33:32.055588-05:00,0,2024-01-02T23:33:32.055588-05:00,,,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.055588-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.055588-05:00,false,2024-01-02T23:33:32.055588-05:00,01HK6SJ6BQAQB4AA7W13A6EH0M,2024-01-02T23:33:32.055588-05:00,,,,,,
01HK6SJ6CVA8VZWTH9BXQEBX5Z,Result,2024-01-02T23:33:32.059298-05:00,false,2024-01-02T23:33:32.059298-05:00,01HK6SJ6BD5JY50EWV5JS7HQDY,2024-01-02T23:33:32.059298-05:00,3600,2024-01-02T23:33:32.059298-05:00,0,2024-01-02T23:33:32.059298-05:00,,,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.059298-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.059298-05:00,false,2024-01-02T23:33:32.059298-05:00,01HK6SJ6BSZRTRN66WJMWY8C05,2024-01-02T23:33:32.059298-05:00,,,,,,
01HK6SJ6CZ22E5MHMMHVVMXPY1,chooseQuality,2024-01-02T23:33:32.063328-05:00,false,2024-01-02T23:33:32.063328-05:00,01HK6SJ6BD5JY50EWV652SWN0R,2024-01-02T23:33:32.063328-05:00,240,2024-01-02T23:33:32.063328-05:00,0,2024-01-02T23:33:32.063328-05:00,,,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.063328-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.063328-05:00,false,2024-01-02T23:33:32.063328-05:00,01HK6SJ6BVA22FQ8J22YA5N1Y2,2024-01-02T23:33:32.063328-05:00,,,,,,
01HK6SJ6D6XHEX1WZXCPBYBFM4,choosePrice,2024-01-02T23:33:32.070899-05:00,false,2024-01-02T23:33:32.070899-05:00,01HK6SJ6BE3BDC6SJF3SJN8TP6,2024-01-02T23:33:32.070899-05:00,240,2024-01-02T23:33:32.070899-05:00,0,2024-01-02T23:33:32.070899-05:00,,,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.070899-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.070899-05:00,false,2024-01-02T23:33:32.070899-05:00,01HK6SJ6BYK4CFEV2E6KW5BVQW,2024-01-02T23:33:32.070899-05:00,,,,,,
